epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.9065,1.76191,2.6428,0.34641,1.10953,1.72919,0.81184,0.92479,0.91264,0.7226,1,0.70007,0.76924,0.35818,0.8915,3.78686,0.40299,0.52036,1.09308,0,0,0
2,6.95509,1.46652,3.36024,0.41192,2.05635,1.35295,0.8504,0.85714,0.91763,0.73333,1,0.70413,0.76905,0.35993,0.89153,3.76372,0.40538,0.51534,1.09491,1.01e-05,1.01e-05,1.01e-05
