epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5119,1.39474,3.63241,1.45782,0.00446,0.90921,0.26593,0.19281,0.76992,3.04349,1.04672,0.0002375,0.0002375,0.0002375
2,21.3807,1.19132,2.68482,1.28953,0.633,0.11401,0.23513,0.17708,0.90262,2.78496,1.12407,0.000471412,0.000471412,0.000471412
3,29.8286,1.14521,2.44085,1.24555,0.64988,0.43791,0.3625,0.27135,0.97272,2.40645,1.16098,0.000688825,0.000688825,0.000688825
4,37.261,1.17601,2.37664,1.24303,0.3954,0.42169,0.34035,0.23005,1.06191,2.46863,1.23023,0.000889738,0.000889738,0.000889738
5,45.7669,1.16587,2.31274,1.24239,0.30382,0.41463,0.30318,0.20175,1.23588,2.75114,1.30938,0.00107415,0.00107415,0.00107415
6,53.5493,1.14706,2.32109,1.25836,0.41631,0.43664,0.39695,0.27653,1.12933,2.16318,1.24799,0.00104375,0.00104375,0.00104375
7,60.7856,1.11629,2.16395,1.20814,0.33194,0.66086,0.40777,0.30107,1.00047,2.38692,1.17616,0.0010025,0.0010025,0.0010025
8,69.6654,1.10308,2.12262,1.21687,0.33784,0.6229,0.43053,0.31142,0.99372,2.05566,1.15645,0.00096125,0.00096125,0.00096125
9,76.0636,1.08148,2.01908,1.19107,0.49216,0.56678,0.47016,0.33471,0.92472,1.67907,1.12733,0.00092,0.00092,0.00092
10,85.4385,1.0446,1.89525,1.17586,0.48168,0.67384,0.59238,0.42531,0.88598,1.45117,1.08373,0.00087875,0.00087875,0.00087875
11,91.8682,1.04201,1.89623,1.17712,0.50436,0.65265,0.56597,0.44161,0.8706,1.46796,1.09182,0.0008375,0.0008375,0.0008375
12,101.372,1.02582,1.78129,1.16701,0.57122,0.66708,0.64023,0.47807,0.82786,1.39662,1.05796,0.00079625,0.00079625,0.00079625
13,107.889,1.01424,1.75587,1.14969,0.50746,0.80255,0.66623,0.52123,0.77519,1.27401,1.03532,0.000755,0.000755,0.000755
14,116.398,0.96424,1.64614,1.13187,0.58104,0.70518,0.6203,0.48801,0.74165,1.35228,1.01924,0.00071375,0.00071375,0.00071375
15,123.629,0.97154,1.60847,1.13779,0.55855,0.70395,0.60028,0.47231,0.77225,1.36034,1.03996,0.0006725,0.0006725,0.0006725
16,130.99,0.97669,1.60762,1.13574,0.51205,0.76088,0.63675,0.49881,0.74745,1.17348,1.02394,0.00063125,0.00063125,0.00063125
17,139.584,0.91461,1.54724,1.11243,0.63647,0.6814,0.66926,0.53828,0.72183,1.12242,1.01381,0.00059,0.00059,0.00059
18,146.069,0.92814,1.58379,1.12576,0.4793,0.7101,0.66128,0.53134,0.74041,1.21198,0.99893,0.00054875,0.00054875,0.00054875
19,155.337,0.87395,1.4721,1.07128,0.63133,0.75275,0.69681,0.55735,0.66277,1.07731,0.97499,0.0005075,0.0005075,0.0005075
20,161.692,0.88538,1.45584,1.08986,0.63489,0.75664,0.71253,0.57827,0.6551,1.0906,0.97074,0.00046625,0.00046625,0.00046625
21,172.715,0.65515,1.37871,0.95379,0.62808,0.78702,0.72845,0.57272,0.7607,1.12632,1.03855,0.000425,0.000425,0.000425
22,179.026,0.65674,1.29176,0.978,0.68053,0.7315,0.72194,0.59021,0.69544,1.01463,0.98029,0.00038375,0.00038375,0.00038375
23,188.099,0.62581,1.21819,0.95775,0.59174,0.81322,0.70224,0.5419,0.71609,1.09821,1.0221,0.0003425,0.0003425,0.0003425
24,194.134,0.62975,1.20876,0.941,0.59659,0.81174,0.70013,0.55983,0.62389,1.07148,0.96103,0.00030125,0.00030125,0.00030125
25,201.968,0.60401,1.13626,0.94001,0.60431,0.76341,0.73282,0.59363,0.62753,0.99906,0.95749,0.00026,0.00026,0.00026
26,209.384,0.56835,1.12079,0.92028,0.68678,0.71583,0.73456,0.59697,0.62615,0.98373,0.95678,0.00021875,0.00021875,0.00021875
27,215.956,0.56381,1.09889,0.93149,0.68859,0.74625,0.75471,0.61776,0.64451,0.95436,0.96948,0.0001775,0.0001775,0.0001775
28,225.326,0.54228,1.07774,0.91779,0.64414,0.81704,0.77907,0.63026,0.66686,0.94267,0.9878,0.00013625,0.00013625,0.00013625
29,231.496,0.54017,1.07976,0.92451,0.65932,0.82371,0.76708,0.60718,0.65642,0.95254,0.98786,9.5e-05,9.5e-05,9.5e-05
30,241.212,0.52292,1.00921,0.92148,0.63876,0.82713,0.7713,0.62646,0.61772,0.92685,0.96129,5.375e-05,5.375e-05,5.375e-05
